X,Y,Z,Temp_degC,Well
703927.8,3558492.5,1284.1,38.5,45-7
703927.8,3558492.5,1283.17,38.5,45-7
703927.8,3558492.5,1282.24,38.6,45-7
703927.8,3558492.5,1281.31,38.8,45-7
703927.8,3558492.5,1280.38,38.9,45-7
703927.8,3558492.5,1279.45,39.2,45-7
703927.8,3558492.5,1278.52,39.5,45-7
703927.8,3558492.5,1277.59,39.8,45-7
703927.8,3558492.5,1276.66,40.1,45-7
703927.8,3558492.5,1275.73,40.5,45-7
703927.8,3558492.5,1274.8,41.0,45-7
703927.8,3558492.5,1273.87,41.4,45-7
703927.8,3558492.5,1272.94,41.9,45-7
703927.8,3558492.5,1272.01,42.4,45-7
703927.8,3558492.5,1271.08,42.9,45-7
703927.8,3558492.5,1270.15,43.4,45-7
703927.8,3558492.5,1269.22,43.9,45-7
703927.8,3558492.5,1268.29,44.5,45-7
703927.8,3558492.5,1267.36,45.0,45-7
703927.8,3558492.5,1266.43,45.6,45-7
703927.81,3558492.5,1265.5,46.1,45-7
703927.81,3558492.5,1264.57,46.7,45-7
703927.81,3558492.5,1263.64,47.3,45-7
703927.81,3558492.5,1262.71,47.9,45-7
703927.81,3558492.5,1261.78,48.5,45-7
703927.81,3558492.5,1260.85,49.1,45-7
703927.81,3558492.5,1259.92,49.7,45-7
703927.81,3558492.5,1258.99,50.4,45-7
703927.81,3558492.5,1258.06,51.0,45-7
703927.81,3558492.5,1257.13,51.6,45-7
703927.81,3558492.5,1256.2,52.3,45-7
703927.81,3558492.5,1255.27,52.9,45-7
703927.81,3558492.5,1254.34,53.6,45-7
703927.81,3558492.5,1253.41,54.2,45-7
703927.81,3558492.5,1252.48,54.9,45-7
703927.82,3558492.5,1251.55,55.5,45-7
703927.82,3558492.5,1250.62,56.2,45-7
703927.82,3558492.5,1249.69,56.8,45-7
703927.82,3558492.5,1248.76,57.5,45-7
703927.82,3558492.5,1247.83,58.1,45-7
703927.82,3558492.5,1246.9,58.8,45-7
703927.82,3558492.5,1245.97,59.4,45-7
703927.82,3558492.5,1245.04,60.1,45-7
703927.82,3558492.5,1244.11,60.7,45-7
703927.83,3558492.5,1243.18,61.4,45-7
703927.83,3558492.5,1242.25,62.0,45-7
703927.83,3558492.5,1241.32,62.7,45-7
703927.83,3558492.51,1240.39,63.3,45-7
703927.83,3558492.51,1239.46,63.9,45-7
703927.83,3558492.51,1238.53,64.6,45-7
703927.83,3558492.51,1237.61,65.2,45-7
703927.83,3558492.51,1236.68,65.8,45-7
703927.84,3558492.51,1235.75,66.4,45-7
703927.84,3558492.51,1234.82,67.0,45-7
703927.84,3558492.51,1233.89,67.6,45-7
703927.84,3558492.51,1232.96,68.2,45-7
703927.84,3558492.51,1232.03,68.8,45-7
703927.84,3558492.51,1231.1,69.3,45-7
703927.84,3558492.51,1230.17,69.9,45-7
703927.85,3558492.51,1229.24,70.5,45-7
703927.85,3558492.51,1228.31,71.0,45-7
703927.85,3558492.51,1227.38,71.6,45-7
703927.85,3558492.51,1226.45,72.1,45-7
703927.85,3558492.51,1225.52,72.6,45-7
703927.85,3558492.51,1224.59,73.2,45-7
703927.85,3558492.51,1223.66,73.7,45-7
703927.86,3558492.51,1222.73,74.2,45-7
703927.86,3558492.51,1221.8,74.7,45-7
703927.86,3558492.51,1220.87,75.1,45-7
703927.86,3558492.51,1219.94,75.6,45-7
703927.86,3558492.51,1219.01,76.1,45-7
703927.87,3558492.51,1218.08,76.5,45-7
703927.87,3558492.51,1217.15,76.9,45-7
703927.87,3558492.51,1216.22,77.4,45-7
703927.87,3558492.51,1215.29,77.8,45-7
703927.87,3558492.51,1214.36,78.2,45-7
703927.87,3558492.51,1213.43,78.6,45-7
703927.88,3558492.51,1212.5,78.9,45-7
703927.88,3558492.51,1211.57,79.3,45-7
703927.88,3558492.51,1210.64,79.6,45-7
703927.88,3558492.51,1209.71,80.0,45-7
703927.89,3558492.52,1208.78,80.3,45-7
703927.89,3558492.52,1207.85,80.6,45-7
703927.89,3558492.52,1206.92,80.9,45-7
703927.89,3558492.52,1205.99,81.2,45-7
703927.89,3558492.52,1205.06,81.4,45-7
703927.9,3558492.52,1204.13,81.7,45-7
703927.9,3558492.52,1203.2,81.9,45-7
703927.9,3558492.52,1202.27,82.2,45-7
703927.9,3558492.52,1201.34,82.4,45-7
703927.91,3558492.52,1200.41,82.6,45-7
703927.91,3558492.52,1199.48,82.8,45-7
703927.91,3558492.52,1198.55,83.0,45-7
703927.91,3558492.52,1197.62,83.2,45-7
703927.91,3558492.52,1196.69,83.4,45-7
703927.92,3558492.52,1195.76,83.5,45-7
703927.92,3558492.52,1194.83,83.7,45-7
703927.92,3558492.52,1193.9,83.8,45-7
703927.92,3558492.52,1192.97,84.0,45-7
703927.93,3558492.52,1192.04,84.1,45-7
703927.93,3558492.52,1191.11,84.3,45-7
703927.93,3558492.52,1190.18,84.4,45-7
703927.93,3558492.52,1189.25,84.5,45-7
703927.94,3558492.52,1188.32,84.6,45-7
703927.94,3558492.52,1187.39,84.8,45-7
703927.94,3558492.53,1186.46,84.9,45-7
703927.95,3558492.53,1185.53,85.0,45-7
703927.95,3558492.53,1184.6,85.1,45-7
703927.95,3558492.53,1183.67,85.2,45-7
703927.95,3558492.53,1182.74,85.3,45-7
703927.96,3558492.53,1181.81,85.4,45-7
703927.96,3558492.53,1180.88,85.5,45-7
703927.96,3558492.53,1179.95,85.6,45-7
703927.97,3558492.53,1179.02,85.7,45-7
703927.97,3558492.53,1178.09,85.8,45-7
703927.97,3558492.53,1177.16,85.9,45-7
703927.97,3558492.53,1176.23,86.0,45-7
703927.98,3558492.53,1175.3,86.1,45-7
703927.98,3558492.53,1174.37,86.2,45-7
703927.98,3558492.53,1173.44,86.3,45-7
703927.99,3558492.53,1172.51,86.4,45-7
703927.99,3558492.53,1171.58,86.5,45-7
703927.99,3558492.53,1170.65,86.7,45-7
703928.0,3558492.53,1169.72,86.8,45-7
703928.0,3558492.54,1168.79,86.9,45-7
703928.0,3558492.54,1167.86,87.0,45-7
703928.01,3558492.54,1166.93,87.1,45-7
703928.01,3558492.54,1166.0,87.2,45-7
703928.01,3558492.54,1165.07,87.4,45-7
703928.02,3558492.54,1164.14,87.5,45-7
703928.02,3558492.54,1163.21,87.6,45-7
703928.02,3558492.54,1162.28,87.7,45-7
703928.03,3558492.54,1161.35,87.9,45-7
703928.03,3558492.54,1160.42,88.0,45-7
703928.03,3558492.54,1159.49,88.1,45-7
703928.04,3558492.54,1158.56,88.3,45-7
703928.04,3558492.54,1157.63,88.4,45-7
703928.04,3558492.54,1156.7,88.6,45-7
703928.05,3558492.54,1155.77,88.7,45-7
703928.05,3558492.54,1154.84,88.9,45-7
703928.05,3558492.54,1153.91,89.0,45-7
703928.06,3558492.55,1152.98,89.2,45-7
703928.06,3558492.55,1152.05,89.4,45-7
703928.07,3558492.55,1151.12,89.5,45-7
703928.07,3558492.55,1150.19,89.7,45-7
703928.07,3558492.55,1149.26,89.9,45-7
703928.08,3558492.55,1148.33,90.0,45-7
703928.08,3558492.55,1147.4,90.2,45-7
703928.08,3558492.55,1146.47,90.4,45-7
703928.09,3558492.55,1145.54,90.6,45-7
703928.09,3558492.55,1144.62,90.7,45-7
703928.1,3558492.55,1143.69,90.9,45-7
703928.1,3558492.55,1142.76,91.1,45-7
703928.1,3558492.55,1141.83,91.3,45-7
703928.11,3558492.55,1140.9,91.5,45-7
703928.11,3558492.55,1139.97,91.6,45-7
703928.12,3558492.56,1139.04,91.8,45-7
703928.12,3558492.56,1138.11,92.0,45-7
703928.12,3558492.56,1137.18,92.2,45-7
703928.13,3558492.56,1136.25,92.4,45-7
703928.13,3558492.56,1135.32,92.6,45-7
703928.13,3558492.56,1134.39,92.8,45-7
703928.13,3558492.56,1133.46,93.0,45-7
703928.14,3558492.56,1132.53,93.2,45-7
703928.14,3558492.56,1131.6,93.4,45-7
703928.14,3558492.56,1130.67,93.6,45-7
703928.14,3558492.56,1129.74,93.8,45-7
703928.15,3558492.56,1128.81,94.0,45-7
703928.15,3558492.56,1127.88,94.2,45-7
703928.15,3558492.56,1126.95,94.4,45-7
703928.15,3558492.56,1126.02,94.7,45-7
703928.15,3558492.56,1125.09,94.9,45-7
703928.16,3558492.57,1124.16,95.1,45-7
703928.16,3558492.57,1123.23,95.3,45-7
703928.16,3558492.57,1122.3,95.6,45-7
703928.16,3558492.57,1121.37,95.8,45-7
703928.16,3558492.57,1120.44,96.0,45-7
703928.16,3558492.57,1119.51,96.3,45-7
703928.16,3558492.57,1118.58,96.5,45-7
703928.16,3558492.57,1117.65,96.7,45-7
703928.16,3558492.57,1116.72,97.0,45-7
703928.16,3558492.57,1115.79,97.2,45-7
703928.16,3558492.57,1114.86,97.5,45-7
703928.16,3558492.57,1113.93,97.7,45-7
703928.16,3558492.57,1113.0,98.0,45-7
703928.16,3558492.57,1112.07,98.2,45-7
703928.16,3558492.57,1111.14,98.5,45-7
703928.16,3558492.57,1110.21,98.8,45-7
703928.16,3558492.57,1109.28,99.0,45-7
703928.16,3558492.57,1108.35,99.3,45-7
703928.16,3558492.57,1107.42,99.6,45-7
703928.15,3558492.57,1106.49,99.9,45-7
703928.15,3558492.57,1105.56,100.2,45-7
703928.15,3558492.58,1104.63,100.4,45-7
703928.15,3558492.58,1103.7,100.7,45-7
703928.15,3558492.58,1102.77,101.0,45-7
703928.15,3558492.58,1101.84,101.3,45-7
703928.14,3558492.58,1100.91,101.6,45-7
703928.14,3558492.58,1099.98,101.9,45-7
703928.14,3558492.58,1099.05,102.3,45-7
703928.14,3558492.58,1098.12,102.6,45-7
703928.13,3558492.58,1097.19,102.9,45-7
703928.13,3558492.58,1096.26,103.2,45-7
703928.13,3558492.58,1095.33,103.5,45-7
703928.12,3558492.58,1094.4,103.8,45-7
703928.12,3558492.58,1093.47,104.1,45-7
703928.12,3558492.58,1092.54,104.4,45-7
703928.11,3558492.58,1091.61,104.7,45-7
703928.11,3558492.58,1090.68,105.0,45-7
703928.1,3558492.58,1089.75,105.3,45-7
703928.1,3558492.58,1088.82,105.6,45-7
703928.1,3558492.58,1087.89,105.9,45-7
703928.09,3558492.58,1086.96,106.2,45-7
703928.09,3558492.58,1086.03,106.5,45-7
703928.08,3558492.58,1085.1,106.8,45-7
703928.08,3558492.58,1084.17,107.1,45-7
703928.07,3558492.58,1083.24,107.4,45-7
703928.07,3558492.58,1082.31,107.7,45-7
703928.06,3558492.58,1081.38,108.0,45-7
703928.06,3558492.58,1080.45,108.3,45-7
